agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,RCSI,RCSI_z,simulation_count,bh_adjusted_p_value,research_grade
random,0.3156498126491283,0.0730300931183359,0.075061026091418,0.1139718540339546,97.40129935032483,0.24058878655771027,2.1109491338627677,2000,0.2913543228385807,False
trend_pullback,0.0522392903749432,2.410249526811288e-05,-0.0004813215885953,0.0541834543458353,83.9080459770115,0.0527206119635385,0.9730020464741884,2000,0.8878060969515242,False
volatility_squeeze_breakout,-0.0071764447935322,-0.0022723907305358,-0.0025584814180622,0.0164791552968043,35.73213393303348,-0.00461796337547,-0.28023058781207877,2000,0.9085457271364316,False
donchian_trend_reentry,0.0013594182688785,0.0118423431622671,0.0119731095543981,0.0603554432617845,43.278360819590205,-0.010613691285519599,-0.17585309148478928,2000,0.9085457271364316,False
uptrend_oversold_reversion,-0.0392450403321864,-0.0294575037452707,-0.0274002486697767,0.0529761979250707,41.12943528235882,-0.011844791662409697,-0.22358704713318456,2000,0.9085457271364316,False
connors_rsi2_pullback,-0.024148739948361,-0.0050409941237515,-0.0052527747059667,0.0184838887741409,12.243878060969514,-0.0188959652423943,-1.0222938188651025,2000,0.9085457271364316,False
mean_reversion_vol_filter,-0.0293588923528284,-0.0073402924103411,-0.0080312879264236,0.0298085993076453,20.889555222388807,-0.0213276044264048,-0.7154849580917646,2000,0.9085457271364316,False
trend_momentum_verification,-0.0247079079405426,-0.0010891970635379,0.0019076840205784,0.0641628374750732,33.53323338330835,-0.026615591961121,-0.4148132004208973,2000,0.9085457271364316,False
adx_trend_following,-0.0186191465111143,0.0134391527556348,0.013136660812804,0.0661867393595159,31.43428285857072,-0.0317558073239183,-0.4797910824920046,2000,0.9085457271364316,False
turn_of_month_seasonality,-0.0365473523986463,-0.0001663137569677,-0.0016419141674069,0.0264949532671529,9.195402298850574,-0.0349054382312394,-1.3174372447191063,2000,0.9085457271364316,False
breakout_volume_momentum,-0.0561877349214084,0.0242125292952173,0.0253076693152728,0.0782220584007546,14.742628685657172,-0.0814954042366812,-1.0418468383835706,2000,0.9085457271364316,False
