agent,mean_actual_cumulative_return,median_actual_cumulative_return,std_actual_cumulative_return,min_actual_cumulative_return,max_actual_cumulative_return,p25_actual_cumulative_return,p75_actual_cumulative_return,mean_annualized_return,median_annualized_return,std_annualized_return,min_annualized_return,max_annualized_return,p25_annualized_return,p75_annualized_return,mean_annualized_sharpe,median_annualized_sharpe,std_annualized_sharpe,min_annualized_sharpe,max_annualized_sharpe,p25_annualized_sharpe,p75_annualized_sharpe,mean_trade_level_return_ratio,median_trade_level_return_ratio,std_trade_level_return_ratio,min_trade_level_return_ratio,max_trade_level_return_ratio,p25_trade_level_return_ratio,p75_trade_level_return_ratio,mean_max_drawdown,median_max_drawdown,std_max_drawdown,min_max_drawdown,max_max_drawdown,p25_max_drawdown,p75_max_drawdown,mean_number_of_trades,median_number_of_trades,std_number_of_trades,min_number_of_trades,max_number_of_trades,p25_number_of_trades,p75_number_of_trades,mean_p_value,median_p_value,std_p_value,min_p_value,max_p_value,p25_p_value,p75_p_value,mean_p_value_prominence,median_p_value_prominence,std_p_value_prominence,min_p_value_prominence,max_p_value_prominence,p25_p_value_prominence,p75_p_value_prominence,mean_actual_percentile,median_actual_percentile,std_actual_percentile,min_actual_percentile,max_actual_percentile,p25_actual_percentile,p75_actual_percentile,mean_RCSI,median_RCSI,std_RCSI,min_RCSI,max_RCSI,p25_RCSI,p75_RCSI,mean_RCSI_z,median_RCSI_z,std_RCSI_z,min_RCSI_z,max_RCSI_z,p25_RCSI_z,p75_RCSI_z,mean_median_simulated_return,median_median_simulated_return,std_median_simulated_return,min_median_simulated_return,max_median_simulated_return,p25_median_simulated_return,p75_median_simulated_return,proportion_significant,proportion_outperforming_null_median,mean_percentile,median_percentile,std_percentile,min_percentile,max_percentile,p25_percentile,p75_percentile,number_of_outer_runs,simulations_per_run,transaction_cost,research_grade,robustness_scope,p_value_interpretation,null_model,stability_classification,evidence_bucket,confidence_score,evaluation_power_score,confidence_bucket,evaluation_power_label,evidence_label,confidence_label,skill_luck_verdict,verdict_label,final_classification
trend_pullback,0.05223929037494325,0.052239290374943244,6.938893903907228e-18,0.052239290374943244,0.052239290374943244,0.052239290374943244,0.052239290374943244,0.031427581872092415,0.031427581872092415,6.938893903907228e-18,0.031427581872092415,0.031427581872092415,0.031427581872092415,0.031427581872092415,0.7873725285136973,0.7873725285136973,0.0,0.7873725285136973,0.7873725285136973,0.7873725285136973,0.7873725285136973,0.2508690731010649,0.2508690731010649,0.0,0.2508690731010649,0.2508690731010649,0.2508690731010649,0.2508690731010649,-0.030150240933650374,-0.030150240933650374,0.0,-0.030150240933650374,-0.030150240933650374,-0.030150240933650374,-0.030150240933650374,37.0,37.0,0.0,37,37,37.0,37.0,0.15748502994011976,0.16167664670658682,0.013432703679354287,0.12974051896207583,0.17365269461077845,0.1501996007984032,0.1656686626746507,0.804416596989135,0.7913527069885959,0.03838712180056402,0.7603184732486272,0.8869243692243902,0.7807596334911718,0.8233383802532729,84.45109780439121,84.03193612774452,1.343270367935425,82.83433133732535,87.2255489021956,83.63273453093812,85.17964071856287,0.051599715196800344,0.05187850364720972,0.0019340517956873181,0.04760948006977424,0.054379051838132575,0.05115278064434167,0.05295121790725376,0.9573500306242295,0.9611067337914241,0.04544591749280388,0.8879753582104347,1.0309870278049127,0.9236458144045346,0.9922153516817469,0.0006621627698434071,0.0009206552623823752,0.0018895414554329338,-0.001903500476423912,0.004585876846869714,-0.0009252080001985057,0.0015296399138806102,0.0,1.0,84.45109780439121,84.03193612774452,1.343270367935425,82.83433133732535,87.2255489021956,83.63273453093812,85.17964071856287,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,weak_skill,0.6,,moderate,Not Used,Weak Skill,Moderate,weak_skill,Weak Skill,weak skill
breakout_volume_momentum,-0.05618773492140846,-0.05618773492140846,0.0,-0.05618773492140846,-0.05618773492140846,-0.05618773492140846,-0.05618773492140846,-0.029837143647555527,-0.029837143647555523,3.469446951953614e-18,-0.029837143647555523,-0.029837143647555523,-0.029837143647555523,-0.029837143647555523,-0.6017024823790933,-0.6017024823790933,0.0,-0.6017024823790933,-0.6017024823790933,-0.6017024823790933,-0.6017024823790933,-0.10725195543216266,-0.10725195543216265,1.3877787807814457e-17,-0.10725195543216265,-0.10725195543216265,-0.10725195543216265,-0.10725195543216265,-0.0892243861491937,-0.0892243861491937,0.0,-0.0892243861491937,-0.0892243861491937,-0.0892243861491937,-0.0892243861491937,36.0,36.0,0.0,36,36,36.0,36.0,0.8550898203592814,0.8562874251497006,0.013834509741447874,0.8303393213572854,0.8822355289421158,0.8478043912175649,0.8632734530938123,0.06804509894440547,0.06738043368252149,0.007026156136508458,0.054415456518153826,0.08074439524050299,0.06385248606203875,0.07170636466644026,14.690618762475049,14.570858283433132,1.383450974144787,11.976047904191617,17.16566866267465,13.872255489021956,15.419161676646707,-0.0806717117459139,-0.07971445276574939,0.0031469366046774122,-0.08531214605985127,-0.07499341558172712,-0.08303185047508009,-0.07865736781086476,-1.0582954409463308,-1.0584405908268093,0.04736439720434935,-1.1557329818038835,-0.9737166383249686,-1.0752220652575126,-1.0447293766181742,0.022859903606808552,0.023631330540808668,0.0036341594322093366,0.017249534338288144,0.030095299296088635,0.019843542875531188,0.024997792260978806,0.0,0.0,14.690618762475049,14.570858283433132,1.383450974144787,11.976047904191617,17.16566866267465,13.872255489021956,15.419161676646707,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,negative_skill,0.6,,low,Not Used,Negative Skill,Low,negative_skill,Negative Skill,negative skill
mean_reversion_vol_filter,-0.029358892352828497,-0.029358892352828497,0.0,-0.029358892352828497,-0.029358892352828497,-0.029358892352828497,-0.029358892352828497,-0.017157331570491707,-0.017157331570491707,0.0,-0.017157331570491707,-0.017157331570491707,-0.017157331570491707,-0.017157331570491707,-0.6956510631212545,-0.6956510631212545,0.0,-0.6956510631212545,-0.6956510631212545,-0.6956510631212545,-0.6956510631212545,-0.19826896181184966,-0.19826896181184966,0.0,-0.19826896181184966,-0.19826896181184966,-0.19826896181184966,-0.19826896181184966,-0.056952278140931845,-0.056952278140931845,0.0,-0.056952278140931845,-0.056952278140931845,-0.056952278140931845,-0.056952278140931845,27.0,27.0,0.0,27,27,27.0,27.0,0.7840319361277446,0.7794411177644711,0.02437746050422677,0.7564870259481038,0.8383233532934131,0.7674650698602795,0.7914171656686627,0.10587216621201985,0.10821989169416323,0.013310143118881386,0.07658843546934528,0.12119851589917337,0.1016039050568655,0.11494248142365886,21.796407185628745,22.255489021956087,2.4377460504226782,16.367265469061877,24.550898203592812,21.057884231536924,23.45309381237525,-0.02171520111546808,-0.02192167851439947,0.001743823887985344,-0.024920996066374684,-0.018893960454354927,-0.022919209457488255,-0.0207166275544376,-0.7180800476803036,-0.7178978636514166,0.04933294753092217,-0.7897859688852162,-0.6392002568127892,-0.7621339752427354,-0.6847243305711369,-0.007600386353570338,-0.00744265631018474,0.002229793869297922,-0.011462716561679765,-0.0043050915264455794,-0.00850811155555617,-0.006083551587118906,0.0,0.0,21.796407185628745,22.255489021956087,2.4377460504226782,16.367265469061877,24.550898203592812,21.057884231536924,23.45309381237525,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,negative_skill,0.6,,low,Not Used,Negative Skill,Low,negative_skill,Negative Skill,negative skill
trend_momentum_verification,-0.024707907940542655,-0.024707907940542655,3.469446951953614e-18,-0.024707907940542655,-0.024707907940542655,-0.024707907940542655,-0.024707907940542655,-0.014496737816627556,-0.014496737816627556,0.0,-0.014496737816627556,-0.014496737816627556,-0.014496737816627556,-0.014496737816627556,-0.4706330396855491,-0.4706330396855491,0.0,-0.4706330396855491,-0.4706330396855491,-0.4706330396855491,-0.4706330396855491,-0.09726711963376455,-0.09726711963376455,0.0,-0.09726711963376455,-0.09726711963376455,-0.09726711963376455,-0.09726711963376455,-0.04284786307701982,-0.04284786307701982,0.0,-0.04284786307701982,-0.04284786307701982,-0.04284786307701982,-0.04284786307701982,49.0,49.0,0.0,49,49,49.0,49.0,0.668063872255489,0.6746506986027945,0.022155688622754507,0.6327345309381237,0.6946107784431138,0.6521956087824351,0.6861277445109781,0.17542311195496113,0.17096854909270054,0.014505417143359529,0.15825848192066477,0.19877846364949425,0.1635953639279055,0.1856255513287979,33.39321357285429,32.734530938123754,2.215568862275449,30.738522954091817,36.92614770459082,31.58682634730539,34.98003992015968,-0.026541276195575447,-0.02590568160058404,0.0035740630261871546,-0.03310208345208866,-0.021733879677545358,-0.0293709300537011,-0.023506174997300087,-0.4169401008057587,-0.39919574362626364,0.05513610251261934,-0.5217996726201816,-0.3578499172048372,-0.4408960672442266,-0.3709003227496406,0.002698188163842622,0.0022485850902870196,0.00251031919469593,-0.0007079218837727247,0.007899777720715359,0.0007738470134627739,0.004245212506049684,0.0,0.0,33.39321357285429,32.734530938123754,2.215568862275449,30.738522954091817,36.92614770459082,31.58682634730539,34.98003992015968,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
adx_trend_following,-0.0186191465111143,-0.0186191465111143,0.0,-0.0186191465111143,-0.0186191465111143,-0.0186191465111143,-0.0186191465111143,-0.011410720039446551,-0.011410720039446551,1.734723475976807e-18,-0.011410720039446551,-0.011410720039446551,-0.011410720039446551,-0.011410720039446551,-0.38358810234364543,-0.38358810234364543,5.551115123125783e-17,-0.38358810234364543,-0.38358810234364543,-0.38358810234364543,-0.38358810234364543,-0.11630335856405667,-0.11630335856405667,0.0,-0.11630335856405667,-0.11630335856405667,-0.11630335856405667,-0.11630335856405667,-0.036505728455605624,-0.036505728455605624,0.0,-0.036505728455605624,-0.036505728455605624,-0.036505728455605624,-0.036505728455605624,32.0,32.0,0.0,32,32,32.0,32.0,0.6796407185628742,0.6796407185628742,0.013456410212122292,0.6506986027944112,0.7085828343313373,0.6756487025948104,0.6841317365269461,0.1678058145181747,0.1677210778498693,0.008605611103020444,0.14960937281215164,0.18662012579930673,0.16486060932113408,0.17028047139844094,32.23552894211577,32.235528942115764,1.3456410212122305,29.34131736526946,35.12974051896208,31.786427145708583,32.634730538922156,-0.030734586947958435,-0.03007374789784309,0.0019345612459260083,-0.034771941089411756,-0.02864145664289211,-0.031765007876633,-0.029430702176973536,-0.47115172772333735,-0.4658194108773991,0.035414020310243564,-0.5515963705066936,-0.42233899236798517,-0.48505989460385757,-0.4472590472766874,0.010535012720749349,0.01023946307749832,0.0025401649048657662,0.006455277132514467,0.016385168973173735,0.009285591114768899,0.011569425610797966,0.0,0.0,32.23552894211577,32.235528942115764,1.3456410212122305,29.34131736526946,35.12974051896208,31.786427145708583,32.634730538922156,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
uptrend_oversold_reversion,-0.039245040332186454,-0.039245040332186454,0.0,-0.039245040332186454,-0.039245040332186454,-0.039245040332186454,-0.039245040332186454,-0.02251016746716367,-0.02251016746716367,0.0,-0.02251016746716367,-0.02251016746716367,-0.02251016746716367,-0.02251016746716367,-0.6561768555543877,-0.6561768555543877,0.0,-0.6561768555543877,-0.6561768555543877,-0.6561768555543877,-0.6561768555543877,-0.0942156894354941,-0.0942156894354941,0.0,-0.0942156894354941,-0.0942156894354941,-0.0942156894354941,-0.0942156894354941,-0.07191618967338109,-0.07191618967338109,0.0,-0.07191618967338109,-0.07191618967338109,-0.07191618967338109,-0.07191618967338109,99.0,99.0,0.0,99,99,99.0,99.0,0.5950099800399202,0.593812375249501,0.021319944224901265,0.5688622754491018,0.6367265469061876,0.5753493013972056,0.6092814371257484,0.2257516896870723,0.22635136917051193,0.01544252633144795,0.19604704281006463,0.24499286585873548,0.21520363057944025,0.24008059045464689,40.69860279441118,40.818363273453095,2.1319944224901266,36.52694610778443,43.31337325349301,39.271457085828345,42.66467065868263,-0.013381856410591869,-0.013212726553148722,0.0016452641506620623,-0.017160332124268728,-0.011590450833105035,-0.014165529338945802,-0.012010788011345544,-0.24567581402740793,-0.2422173753617089,0.030414520725252678,-0.314992570546257,-0.205970631980655,-0.2594651484915464,-0.22286436006333962,-0.027282152792050825,-0.027457930915477144,0.002936162886846258,-0.031722524801181824,-0.022398591838407252,-0.029226286641242376,-0.02493168906941968,0.0,0.0,40.69860279441118,40.818363273453095,2.1319944224901266,36.52694610778443,43.31337325349301,39.271457085828345,42.66467065868263,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
volatility_squeeze_breakout,-0.007176444793532251,-0.007176444793532251,1.734723475976807e-18,-0.007176444793532251,-0.007176444793532251,-0.007176444793532251,-0.007176444793532251,-0.005834603334940293,-0.005834603334940293,0.0,-0.005834603334940293,-0.005834603334940293,-0.005834603334940293,-0.005834603334940293,-0.5318517486245998,-0.5318517486245998,1.1102230246251565e-16,-0.5318517486245998,-0.5318517486245998,-0.5318517486245998,-0.5318517486245998,-0.27503920536809656,-0.27503920536809656,5.551115123125783e-17,-0.27503920536809656,-0.27503920536809656,-0.27503920536809656,-0.27503920536809656,-0.00997601179845975,-0.00997601179845975,0.0,-0.00997601179845975,-0.00997601179845975,-0.00997601179845975,-0.00997601179845975,8.0,8.0,0.0,8,8,8.0,8.0,0.6439121756487026,0.6437125748502994,0.028287031917056882,0.5828343313373253,0.6926147704590818,0.6322355289421158,0.6611776447105788,0.19159979706209523,0.1913085288537788,0.019334377143182188,0.159508251076372,0.23445487441882745,0.17968518860172494,0.1991408426010876,35.808383233532936,35.82834331337325,2.828703191705687,30.938123752495013,41.91616766467065,34.08183632734531,36.97604790419162,-0.0049031103268635055,-0.004717328129015833,0.0010071727023251537,-0.006694431139772462,-0.0035934078548295768,-0.005219060859082906,-0.004216849563194776,-0.27800636327204586,-0.26510989796925316,0.06384877701446377,-0.40506808086307816,-0.19413275653426884,-0.3051443883337203,-0.2329686196622035,-0.0016757034211707573,-0.0018383840985509979,0.001098499397840719,-0.0039683546757544146,0.00011737201141649087,-0.0021677936285268277,-0.0010115096479896243,0.0,0.0,35.808383233532936,35.82834331337325,2.828703191705687,30.938123752495013,41.91616766467065,34.08183632734531,36.97604790419162,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
connors_rsi2_pullback,-0.02414873994836101,-0.02414873994836101,0.0,-0.02414873994836101,-0.02414873994836101,-0.02414873994836101,-0.02414873994836101,-0.01604850358080405,-0.01604850358080405,3.469446951953614e-18,-0.01604850358080405,-0.01604850358080405,-0.01604850358080405,-0.01604850358080405,-1.1499916282540799,-1.1499916282540799,0.0,-1.1499916282540799,-1.1499916282540799,-1.1499916282540799,-1.1499916282540799,-0.38251611550215364,-0.38251611550215364,5.551115123125783e-17,-0.38251611550215364,-0.38251611550215364,-0.38251611550215364,-0.38251611550215364,-0.02845647718749833,-0.02845647718749833,0.0,-0.02845647718749833,-0.02845647718749833,-0.02845647718749833,-0.02845647718749833,17.0,17.0,0.0,17,17,17.0,17.0,0.8662674650698603,0.8612774451097804,0.016983670567810506,0.8383233532934131,0.8902195608782435,0.8557884231536926,0.8837325349301397,0.06243154750249038,0.06485721737942388,0.008521100148990783,0.05050286715510385,0.07658843546934528,0.053679363862670554,0.06763558156718379,13.572854291417167,14.071856287425149,1.6983670567810496,11.177644710578843,16.367265469061877,11.826347305389223,14.620758483033931,-0.01765007432155364,-0.01770048425154885,0.0007303173217637766,-0.018719863994474093,-0.01648392871280524,-0.018279311642607605,-0.016996462052213578,-0.9960930270298765,-0.9982192251942646,0.03342296608810038,-1.0478846026214668,-0.9500653279211222,-1.0221768550677772,-0.9641093739791369,-0.006297172110493128,-0.006248699443884733,0.0007964654060595213,-0.007667701452183035,-0.005424207468752622,-0.006833182119356702,-0.005506528117344875,0.0,0.0,13.572854291417167,14.071856287425149,1.6983670567810496,11.177644710578843,16.367265469061877,11.826347305389223,14.620758483033931,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,negative_skill,0.6,,low,Not Used,Negative Skill,Low,negative_skill,Negative Skill,negative skill
donchian_trend_reentry,0.0013594182688785247,0.0013594182688785247,0.0,0.0013594182688785247,0.0013594182688785247,0.0013594182688785247,0.0013594182688785247,0.0008187280636614755,0.0008187280636614756,1.0842021724855044e-19,0.0008187280636614756,0.0008187280636614756,0.0008187280636614756,0.0008187280636614756,0.042347315380591895,0.042347315380591895,0.0,0.042347315380591895,0.042347315380591895,0.042347315380591895,0.042347315380591895,0.011456585137575867,0.011456585137575867,1.734723475976807e-18,0.011456585137575867,0.011456585137575867,0.011456585137575867,0.011456585137575867,-0.02917898255519269,-0.02917898255519269,0.0,-0.02917898255519269,-0.02917898255519269,-0.02917898255519269,-0.02917898255519269,28.0,28.0,0.0,28,28,28.0,28.0,0.5678642714570858,0.56686626746507,0.016392804183175395,0.5469061876247505,0.6027944111776448,0.5573852295409181,0.5753493013972056,0.2459344163686213,0.24652207810084548,0.012433927793343307,0.21983078291009506,0.26208716304685775,0.24007283551757405,0.2538450655764928,43.41317365269461,43.51297405189621,1.6392804183175371,39.920159680638726,45.50898203592814,42.66467065868264,44.461077844311376,-0.008947863489181388,-0.009293286595769154,0.002031694075865323,-0.012060228781272407,-0.005774163343584207,-0.010751802687594495,-0.0069819402194626935,-0.15102613839766676,-0.15405672269567627,0.03500580661552869,-0.19899574207100035,-0.09645501268783992,-0.184455919565482,-0.119694613403681,0.010533323922021363,0.009566401891195134,0.002114315127407082,0.008136137123036926,0.014551790707493226,0.009299293481271412,0.012231163784971442,0.0,0.0,43.41317365269461,43.51297405189621,1.6392804183175371,39.920159680638726,45.50898203592814,42.66467065868264,44.461077844311376,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
turn_of_month_seasonality,-0.0365473523986463,-0.0365473523986463,0.0,-0.0365473523986463,-0.0365473523986463,-0.0365473523986463,-0.0365473523986463,-0.02432363096687055,-0.02432363096687055,3.469446951953614e-18,-0.02432363096687055,-0.02432363096687055,-0.02432363096687055,-0.02432363096687055,-1.6495890666467887,-1.6495890666467885,2.220446049250313e-16,-1.6495890666467885,-1.6495890666467885,-1.6495890666467885,-1.6495890666467885,-0.9776102247389995,-0.9776102247389994,1.1102230246251565e-16,-0.9776102247389994,-0.9776102247389994,-0.9776102247389994,-0.9776102247389994,-0.03784079906499882,-0.03784079906499882,0.0,-0.03784079906499882,-0.03784079906499882,-0.03784079906499882,-0.03784079906499882,10.0,10.0,0.0,10,10,10.0,10.0,0.9311377245508983,0.9341317365269461,0.009665708593056491,0.9121756487025948,0.9401197604790419,0.9301397205588823,0.93812375249501,0.03100964938083147,0.02959286422664801,0.004533155452556096,0.026816818738349558,0.03992152579739549,0.027739867931528238,0.03145180917724553,7.0858283433133735,6.786427145708583,0.966570859305649,6.187624750499002,8.982035928143713,6.387225548902195,7.18562874251497,-0.0367335066425061,-0.03675752576366846,0.0011810160448697835,-0.03857337496324386,-0.034005239980023624,-0.03743092494874709,-0.03629607878192384,-1.423840694361859,-1.429125206476365,0.08152590206486786,-1.561992612182982,-1.262798206023663,-1.4656777353446007,-1.3953093715931586,0.0006193309665584775,0.0005597309896632754,0.0012749155258871445,-0.0013069009667815152,0.0025550130926251737,-0.00015772433867634018,0.0014152551129770962,0.0,0.0,7.0858283433133735,6.786427145708583,0.966570859305649,6.187624750499002,8.982035928143713,6.387225548902195,7.18562874251497,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,negative_skill,0.6,,low,Not Used,Negative Skill,Low,negative_skill,Negative Skill,negative skill
