agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model,robustness_scope,research_grade
trend_pullback,1,101,0.11620428701938242,0.005916638128623696,0.1854080196921628,0.11460423015702555,-0.1319221167841107,-0.06317528193178217,-0.06066126640070564,0.14972461331975673,87.42514970059881,0.1277445109780439,0.8936577518833586,0.17686555342008806,1.1812724006998654,0,1,-0.30284573339073423,0.211675302751806,38,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
breakout_volume_momentum,1,101,-0.01754338588244923,-0.000960399817286616,-0.013366811421050387,-0.011185347484177186,-0.14346420004089266,0.013882575417437835,0.016348842048130478,0.13248155491019836,41.91616766467065,0.5828343313373253,0.23445487441882745,-0.03389222793057971,-0.25582601256116977,0,0,-0.1916241175854708,0.24851328197344985,31,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
mean_reversion_vol_filter,1,101,0.015485210289332661,0.0009295088078947876,0.050935791644615376,0.03814676698321659,-0.06696746278145893,-0.02647511659149823,-0.023297970556097142,0.10670716081909322,65.6686626746507,0.34530938123752497,0.46179162273845026,0.0387831808454298,0.36345434128063026,0,1,-0.1942540903045324,0.15256233334250724,38,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_momentum_verification,1,101,-0.06008147713887276,-0.0033914122033040636,-0.057801074268904414,-0.04262644176207029,-0.1497334147126611,0.005633823925299014,0.004380656578987962,0.1835768275112789,38.92215568862276,0.6127744510978044,0.21269935039005924,-0.06446213371786072,-0.35114526485593717,0,0,-0.2789615372091367,0.3280619293447114,38,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
adx_trend_following,1,101,-0.0792172160404816,-0.004489188747445691,-0.09232432112063767,-0.06987681908304988,-0.162786633885885,-0.02061389975390518,-0.007388534118868811,0.1665648395760185,34.73053892215569,0.654690618762475,0.18396388215556664,-0.07182868192161279,-0.43123556030461585,0,0,-0.25788140355440214,0.2731976872932981,44,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
uptrend_oversold_reversion,1,101,-0.009558387585224756,-0.0005492435425226411,-0.02338392746043231,-0.017359684163737444,-0.06386716094503697,-0.03177479671635458,-0.02642617193820822,0.0891291280515666,60.47904191616767,0.3972055888223553,0.4009846494575391,0.016867784352983466,0.1892510868413795,0,1,-0.169782960178287,0.1229357855799038,30,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
volatility_squeeze_breakout,1,101,0.011484748229777077,0.0007084570694514337,0.0582111847111584,0.08198458491105387,-0.03395178991933734,-0.004851945321760118,-0.008366451034810266,0.061239734823194336,63.47305389221557,0.36726546906187624,0.43501990285770925,0.019851199264587345,0.32415553924098267,0,1,-0.10568311936277919,0.09447130361130214,10,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
connors_rsi2_pullback,1,101,0.004653342661601635,0.00026636293920322135,0.022615696848497135,0.014032065115497361,-0.09264477165996066,-0.02981695559618348,-0.024534733495625776,0.08767023660177324,64.67065868263472,0.35528942115768464,0.44941772355835174,0.029188076157227412,0.3329302770084807,0,1,-0.16506988505597814,0.11563312261946823,49,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
donchian_trend_reentry,1,101,0.02521420241263603,0.0013587495809934942,0.06043235580198444,0.05805844567534498,-0.09821369358031962,-0.0007604820495522355,0.003963001031617288,0.12340142628506622,59.68063872255489,0.405189620758483,0.3923416879540328,0.02125120138101874,0.17221195913835655,0,1,-0.20377195327278494,0.21405430002346476,21,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
turn_of_month_seasonality,1,101,-0.06976204796053462,-0.003950285512978389,-0.11646845719787018,-0.05117988015415665,-0.14861926919800383,-0.05463119135455044,-0.046542972055113166,0.14461726855387663,45.90818363273453,0.5429141716566867,0.265268821833047,-0.023219075905421452,-0.16055534817939995,0,0,-0.2743646641513368,0.1911750593091658,90,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
random,1,101,-0.34204254636297854,-0.02226299929659662,-0.19969375701208616,-0.060679821164648776,-0.5548209207765417,-0.1708799347812966,-0.1454006750123177,0.23856523526392936,20.35928143712575,0.7984031936127745,0.09777773453928333,-0.19664187135066083,-0.8242687629365281,0,0,-0.4933782320217336,0.2976334543800782,184,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_pullback,2,102,0.11620428701938242,0.005916638128623696,0.1854080196921628,0.11460423015702555,-0.1319221167841107,-0.05843830979331317,-0.04584831553472768,0.1667003664529401,84.83033932135729,0.1536926147704591,0.8133470006947638,0.16205260255411008,0.9721190540985278,0,1,-0.3060697677292746,0.23766543881761792,38,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
breakout_volume_momentum,2,102,-0.01754338588244923,-0.000960399817286616,-0.013366811421050387,-0.011185347484177186,-0.14346420004089266,0.021211390163699162,0.017022174722382544,0.13566646049091527,39.321357285429144,0.6087824351297405,0.21553788652045988,-0.03456556060483178,-0.2547833892013894,0,0,-0.2071168613283692,0.24918691986975702,31,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
mean_reversion_vol_filter,2,102,0.015485210289332661,0.0009295088078947876,0.050935791644615376,0.03814676698321659,-0.06696746278145893,-0.03568720019367154,-0.029176180675869964,0.10190864957071721,69.061876247505,0.31137724550898205,0.5067131275127841,0.04466139096520262,0.4382492669006555,0,1,-0.18579491838899895,0.15307425331780958,38,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_momentum_verification,2,102,-0.06008147713887276,-0.0033914122033040636,-0.057801074268904414,-0.04262644176207029,-0.1497334147126611,-0.005289380508311302,0.005721051605254988,0.17533236265769594,37.5249500998004,0.626746506986028,0.20290807779403078,-0.06580252874412774,-0.3753016713326052,0,0,-0.25402221443805895,0.2788840891549315,38,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
adx_trend_following,2,102,-0.0792172160404816,-0.004489188747445691,-0.09232432112063767,-0.06987681908304988,-0.162786633885885,0.004131747963025708,0.008261781426812814,0.16915883635374335,27.54491017964072,0.7265469061876247,0.13873634221818973,-0.08747899746729441,-0.5171411636124001,0,0,-0.27115940535089533,0.2831922498084128,44,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
uptrend_oversold_reversion,2,102,-0.009558387585224756,-0.0005492435425226411,-0.02338392746043231,-0.017359684163737444,-0.06386716094503697,-0.032644856349726414,-0.027599155661601017,0.0935847806693217,60.27944111776448,0.3992015968063872,0.39880773020326454,0.01804076807637626,0.19277459376779046,0,1,-0.1751480534749699,0.12300573926360203,30,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
