asset,agent,RCSI,RCSI_z,p_value,actual_percentile,number_of_trades,null_dispersion,abs_null_dispersion,path_degenerate,bonferroni_significant
USDC-USD,breakout_volume_momentum,-0.0026591289344857,-2.1160541921820313,0.9780439121756488,2.3952095808383236,42.0,0.0012566450066874995,0.0012566450066874995,True,False
USDC-USD,random,-0.0034168833203497,-1.1286019610332187,0.8762475049900199,12.574850299401197,364.0,0.0030275362247479992,0.0030275362247479992,True,False
INTL,mean_reversion_vol_filter,0.0032187753395866,0.9195583039507816,0.1394302848575712,86.10694652673662,1.0,0.0035003493805204995,0.0035003493805204995,True,False
USDC-USD,trend_pullback,-0.0383964674954119,-10.360456444687085,1.0,0.1996007984031935,1032.0,0.0037060594482882926,0.0037060594482882926,True,False
INTL,volatility_squeeze_breakout,0.0032997068974126,0.7607341343831638,0.1989005497251374,80.15992003998001,1.0,0.004337529694376269,0.004337529694376269,True,False
INTL,uptrend_oversold_reversion,0.0114797132252901,1.487339616760354,0.0554722638680659,94.50274862568716,2.0,0.007718286459883732,0.007718286459883732,True,False
INTL,connors_rsi2_pullback,-0.0019822696932561,-0.2506535303979523,0.6106946526736632,38.980509745127435,5.0,0.007908405240129401,0.007908405240129401,True,False
RSPN,mean_reversion_vol_filter,-0.0057970815893415,-0.6450864100437216,0.7445109780439122,25.748502994011975,21.0,0.008986519478760365,0.008986519478760365,True,False
VTEB,mean_reversion_vol_filter,-0.0177318707519502,-1.5848495677696306,0.9481037924151696,5.389221556886228,29.0,0.0111883620455564,0.0111883620455564,False,False
INTL,donchian_trend_reentry,-0.0167040486818074,-1.1057620762798956,0.8780609695152424,12.243878060969514,7.0,0.015106367852661999,0.015106367852661999,False,False
INTL,trend_momentum_verification,0.0052295977869911,0.2895408387010991,0.3888055972013993,61.169415292353825,5.0,0.018061693163739696,0.018061693163739696,False,False
INTL,turn_of_month_seasonality,0.0352687295537905,1.928818034406811,0.0234882558720639,97.70114942528735,14.0,0.0182851512815915,0.0182851512815915,False,False
VTEB,breakout_volume_momentum,-0.0053459725080745,-0.2747856169924132,0.6287425149700598,37.3253493013972,27.0,0.01945506670468164,0.01945506670468164,False,False
INTL,adx_trend_following,-0.0076095811681782,-0.3708203234304226,0.6376811594202898,36.28185907046477,13.0,0.020520938814201736,0.020520938814201736,False,False
VTEB,trend_pullback,0.0296721892985924,1.4425324833061273,0.059880239520958,94.2115768463074,56.0,0.020569512050492598,0.020569512050492598,False,False
RSPN,breakout_volume_momentum,0.0078324352942997,0.324139694170999,0.3952095808383233,60.67864271457086,43.0,0.0241637646827905,0.0241637646827905,False,False
