agent,mean_mean_actual_cumulative_return,median_mean_actual_cumulative_return,std_mean_actual_cumulative_return,min_mean_actual_cumulative_return,max_mean_actual_cumulative_return,p25_mean_actual_cumulative_return,p75_mean_actual_cumulative_return,mean_mean_annualized_return,median_mean_annualized_return,std_mean_annualized_return,min_mean_annualized_return,max_mean_annualized_return,p25_mean_annualized_return,p75_mean_annualized_return,mean_mean_annualized_sharpe,median_mean_annualized_sharpe,std_mean_annualized_sharpe,min_mean_annualized_sharpe,max_mean_annualized_sharpe,p25_mean_annualized_sharpe,p75_mean_annualized_sharpe,mean_mean_trade_level_return_ratio,median_mean_trade_level_return_ratio,std_mean_trade_level_return_ratio,min_mean_trade_level_return_ratio,max_mean_trade_level_return_ratio,p25_mean_trade_level_return_ratio,p75_mean_trade_level_return_ratio,mean_mean_max_drawdown,median_mean_max_drawdown,std_mean_max_drawdown,min_mean_max_drawdown,max_mean_max_drawdown,p25_mean_max_drawdown,p75_mean_max_drawdown,mean_mean_p_value,median_mean_p_value,std_mean_p_value,min_mean_p_value,max_mean_p_value,p25_mean_p_value,p75_mean_p_value,mean_mean_p_value_prominence,median_mean_p_value_prominence,std_mean_p_value_prominence,min_mean_p_value_prominence,max_mean_p_value_prominence,p25_mean_p_value_prominence,p75_mean_p_value_prominence,mean_mean_actual_percentile,median_mean_actual_percentile,std_mean_actual_percentile,min_mean_actual_percentile,max_mean_actual_percentile,p25_mean_actual_percentile,p75_mean_actual_percentile,mean_mean_RCSI,median_mean_RCSI,std_mean_RCSI,min_mean_RCSI,max_mean_RCSI,p25_mean_RCSI,p75_mean_RCSI,mean_mean_RCSI_z,median_mean_RCSI_z,std_mean_RCSI_z,min_mean_RCSI_z,max_mean_RCSI_z,p25_mean_RCSI_z,p75_mean_RCSI_z,panel_count,mean_proportion_significant_runs,mean_proportion_outperforming_null_runs,proportion_significant_panels,proportion_positive_rcsi_z_panels,stability_classification,evidence_bucket,confidence_score,evaluation_power_score,confidence_bucket,evaluation_power_label,evidence_label,confidence_label,skill_luck_verdict,verdict_label,final_classification,number_of_outer_runs,simulations_per_run,test_bars,step_bars,min_trades_per_panel,transaction_cost,null_model,execution_cost_model
trend_pullback,0.0560201713871606,0.03174867041678642,0.2904691493031521,-0.6091623031974147,1.4181522368424693,-0.06257117105781801,0.1836834605330776,0.007859234656305876,0.007833616866838033,0.0716774730272751,-0.2085631038110285,0.24720135696859136,-0.016041154233860433,0.04346315494689568,0.1439219553663307,0.22554969446085618,0.5099985334179091,-1.0876023808199187,1.1500336225141214,-0.19369818752293883,0.5090617211735362,0.05772922157348737,0.1150846243748851,0.33191877404955333,-1.354092157772095,0.7050631940246863,-0.12549686479878425,0.2874316935677216,-0.18623095831706574,-0.1386280109790089,0.14453684826976687,-0.6559123839920435,-0.026885565346552953,-0.2234279696204961,-0.08697506677755645,0.5808748213811505,0.6153846153846154,0.28229400005382493,0.03896103896103896,0.996003996003996,0.3371628371628371,0.8226773226773227,0.3148151801250809,0.21085336531489315,0.3020508151326614,0.0017389191676629103,1.4093694704528195,0.08477695820666933,0.47216077690482194,42.012417961785054,38.56143856143856,28.229400005382498,0.4995004995004995,96.2037962037962,17.832167832167833,66.38361638361638,-0.1530451892264021,-0.03869838367431583,0.6343272176982742,-5.183543096818468,0.7202370790921995,-0.17315122903680535,0.03126244715450538,-0.2759881101399439,-0.31887510178211925,0.8885135899378853,-2.074889200751433,1.7798475837810999,-0.9132001027205137,0.3705634061923505,79,0.012658227848101266,0.4050632911392405,0.012658227848101266,0.3924050632911392,unstable,neutral_inconclusive,0.06207522318391882,0.18257418583505536,low,Low,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive,1,1000,1008,1008,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
breakout_volume_momentum,0.1420453747063267,0.011191202108437714,0.8600404670151881,-0.6848527318149571,6.852391089370248,-0.03907627470840272,0.09983015569427822,0.020205338830736042,0.0028517927613218585,0.15644575549982873,-0.24986202103536626,1.1116749224330906,-0.00992573078344422,0.025019889304612686,0.12119974011576072,0.09918541243040943,0.5684410424044616,-1.1595055584084017,1.9019276900502256,-0.16264225810423272,0.4345754984349412,0.0201433616890426,0.059947886289243135,0.33434764097446695,-1.296372654302921,0.6971300198749026,-0.13008274190814817,0.2517195692002874,-0.17570943221697452,-0.1087199583173758,0.16539584989740486,-0.7224083017112546,-0.013132591435225494,-0.219118598383068,-0.061223446686733934,0.5954045954045954,0.6328671328671329,0.27120642665415395,0.012987012987012988,1.0,0.3728771228771229,0.8059440559440559,0.305591914611457,0.19868759352977475,0.32916235511363184,0.0,1.8864907251724818,0.09369815989312345,0.42850092219168257,40.55944055944056,36.81318681318682,27.120642665415403,0.0999000999000999,98.8011988011988,19.505494505494507,62.81218781218781,-0.02166077262437141,-0.03495518029559466,0.5977155513142236,-0.9676169035865678,4.23430596300625,-0.12971308247177565,0.03925661600504132,-0.31417192343723105,-0.3536337112427478,0.9028707355893822,-2.151786944742288,2.5414972072447797,-0.8985593447034085,0.2562989412489254,76,0.013157894736842105,0.3684210526315789,0.013157894736842105,0.34210526315789475,unstable,neutral_inconclusive,0.06207522318391882,0.18257418583505536,low,Low,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive,1,1000,1008,1008,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
mean_reversion_vol_filter,-0.006836588166319679,-0.016715244886402747,0.02558088230501686,-0.03606582344115761,0.05180897206875956,-0.02054719022360052,-0.006553116385477953,-0.0018814972128107148,-0.004357036721931551,0.006490917613286002,-0.009476783288777657,0.012681741112482658,-0.005303583017139846,-0.0016992647518980775,-0.12370523388515078,-0.23746203250457332,0.28023489688375564,-0.47795824805386594,0.4312451332286681,-0.30134120121420294,-0.05447369241437098,-0.05490513280480173,-0.16037044421243268,0.2364629031784636,-0.32523869153197305,0.5702405269645241,-0.20588369365530476,-0.051111394471864406,-0.04253792082978014,-0.03856472540615252,0.014789950818824345,-0.07004403147578142,-0.026116527548926904,-0.05752426359309781,-0.030990509275801714,0.5047260431875816,0.5464535464535465,0.18885739410827035,0.1038961038961039,0.7642357642357642,0.4725274725274725,0.6143856143856143,0.3470966426629157,0.26244675114588784,0.2406028122190112,0.11677264232570105,0.9834007381805383,0.21155896170390193,0.3255729367415071,49.62729578114193,45.45454545454545,18.885739410827036,23.676323676323676,89.71028971028971,38.66133866133866,52.84715284715284,0.0012980737610713972,-0.004793582935485466,0.022628182015262528,-0.026462355702069652,0.05081681767860373,-0.011544212277816258,0.0016102414650148063,0.007057052826739267,-0.11957268031863766,0.5142833296594325,-0.6451769934327304,1.1581967485934355,-0.2762716535388878,0.05154943896250535,13,0.0,0.38461538461538464,0.0,0.3076923076923077,unstable,neutral_inconclusive,0.06207522318391882,0.18257418583505536,low,Low,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive,1,1000,1008,1008,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
trend_momentum_verification,0.14907994607056851,0.06300004893525846,0.3397828975996006,-0.48877944939977813,1.8075320208715921,-0.017430235212438805,0.20045918459429424,0.03102161759820049,0.015422938512146045,0.07398016345811326,-0.15500980001377151,0.36893093243744013,-0.00451586889725808,0.04670254800693674,0.310905954394756,0.2700998505204841,0.5870265953099237,-0.8491304028475728,1.7051116520152327,-0.032343266032311774,0.7330459182905441,0.11396728407594119,0.1559928100707805,0.460455829419966,-1.9918422342653541,0.9016888813512234,-0.042134283427247954,0.387914099109106,-0.14398398094614878,-0.11189602327170745,0.10697930932538266,-0.570624393196538,-0.024444162788229695,-0.20060416207975595,-0.0628092001040973,0.5987437220313933,0.6613386613386614,0.263516239294629,0.01098901098901099,0.997002997002997,0.3996003996003996,0.8271728271728271,0.3004180497755568,0.1795760880396187,0.3301353644145713,0.0013035361919475354,1.9590413923210936,0.08240374069443851,0.3983740861513562,40.225527896760774,33.96603396603396,26.3516239294629,0.3996003996003996,99.000999000999,17.382617382617383,60.13986013986013,-0.06497017459903623,-0.04700829037636336,0.2668000218175292,-0.8996056211711924,1.1736783808041102,-0.1629793410357797,0.04150399740189781,-0.3260563708918479,-0.4417919883240472,0.855790857307516,-1.9247701616522381,2.8357634485418934,-0.9556993772298743,0.22930936844116379,73,0.0273972602739726,0.3972602739726027,0.0273972602739726,0.3561643835616438,unstable,neutral_inconclusive,0.06207522318391882,0.18257418583505536,low,Low,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive,1,1000,1008,1008,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
adx_trend_following,0.20363718084714053,0.047998356422128685,0.6806999989011615,-0.5214741002623247,4.293409262007017,-0.04480232842267434,0.19215591771897744,0.03792313805851684,0.011925197595571202,0.13622513116188395,-0.16891323215273857,0.830234904961382,-0.011645066638265311,0.04488517010458831,0.21654098773071476,0.20998884809440888,0.6237467563162937,-0.9311205582248498,2.2820000630737085,-0.10197413221967251,0.5038430321913951,-0.004306096919189593,0.10965452546632817,0.4944119443140233,-1.9882198985976693,1.0357978711674378,-0.04635708329948147,0.25509322259770767,-0.15892433808262604,-0.10329805771129247,0.12241932409927817,-0.5543980436264841,-0.032510648512479645,-0.1983900298817863,-0.07406224331944078,0.6384512922974461,0.7107892107892109,0.26560385446890644,0.000999000999000999,0.999000999000999,0.4260739260739261,0.8349150849150849,0.27987197419529936,0.14833736288224122,0.40061663071146414,0.00043407747931862597,3.000434077479319,0.07837465412983993,0.3706215740468,36.25477087015548,29.02097902097902,26.560385446890646,0.1998001998001998,100.0,16.608391608391607,57.49250749250749,-0.05051625407433661,-0.08179632375091239,0.5602735343107911,-1.3071751996797096,3.9707653822569045,-0.18506877800493132,0.01496548915175944,-0.4121332832700331,-0.5555846476770063,1.0941493878121376,-2.9311898637810727,5.918545976935689,-0.9698294600153137,0.11373300404146866,78,0.02564102564102564,0.2948717948717949,0.02564102564102564,0.28205128205128205,unstable,likely_random,0.09493857663422879,0.18257418583505536,low,Low,Likely Random,Low,luck,Luck,likely random,1,1000,1008,1008,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
uptrend_oversold_reversion,-0.011284535134015294,0.014340884814795674,0.15734558781505778,-0.5657453323038791,0.4732746197651154,-0.01957955146304169,0.053518293073968604,-0.005868047476881853,0.0035636566727952346,0.045679618920104546,-0.1875315071891901,0.10179232433671404,-0.005548487798583079,0.013146310926642535,0.06606025325424618,0.17437756337738683,0.5611899111761629,-1.8786095255646387,1.0982545310915814,-0.21070695383359567,0.4490483576137285,0.024492373701760325,0.12023888032560964,0.5297506478589696,-2.540767220948828,1.3003720843715287,-0.13564418858796354,0.30915587972554687,-0.1139529455053812,-0.06686137540304127,0.12623046930277543,-0.635106742999147,-0.0029164318235389564,-0.14266284178904953,-0.03829394276985365,0.5148619496445583,0.4885114885114885,0.288876994938945,0.02197802197802198,1.0,0.2777222777222777,0.7582417582417582,0.388108398881312,0.3111252183556984,0.3415498119607379,0.0,1.6580113966571124,0.1201923015838383,0.5563892815612425,48.61370513544427,51.24875124875125,28.887699493894498,0.0999000999000999,97.9020979020979,24.275724275724276,72.32767232767233,-0.04328201283138596,0.003271567786230289,0.1707122183543034,-0.6987588199702743,0.3058555733046144,-0.05558142168093476,0.04029155545654575,-0.11043628259970241,0.026061353682966346,0.9909387851210794,-3.099152503014508,2.086872422234561,-0.6030776521531861,0.5674149650270233,69,0.014492753623188406,0.5217391304347826,0.014492753623188406,0.5362318840579711,unstable,neutral_inconclusive,0.06207522318391882,0.18257418583505536,low,Low,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive,1,1000,1008,1008,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
volatility_squeeze_breakout,-0.012547317769407623,-0.01683821251453732,0.1274865011699972,-0.2762248722663637,0.4347161286352319,-0.05319832123885615,0.012384497993809751,-0.0027257697687944477,-0.004235134351561198,0.03763413646843072,-0.07769009394792781,0.1398842399691529,-0.013567198751022413,0.003070999995029522,-0.04047741386762355,-0.132118947650678,0.4958786945702252,-0.9090771614069171,1.5833556875486783,-0.27225783906002077,0.12245381962165258,-0.10573164028311356,-0.20004760522044823,0.6729868805912347,-1.416146660253256,2.14442488075359,-0.39512230831623657,0.1276426456442298,-0.10619941640437996,-0.07016621326963951,0.08046177764894448,-0.3273063274913611,-0.026081574591558465,-0.14519975818133518,-0.04398516819534007,0.6911421911421911,0.7332667332667333,0.21203578843807522,0.16983016983016982,0.975024975024975,0.6613386613386614,0.8166833166833167,0.1907923354500183,0.13473842061665722,0.18173489182086697,0.010984259812626846,0.7699851561010447,0.0879465596399024,0.17983423619125755,30.985680985680986,26.773226773226774,21.203578843807524,2.5974025974025974,83.11688311688312,18.43156843156843,33.96603396603396,-0.077428126970146,-0.06304377435881088,0.13630966220172563,-0.5294880384084305,0.2431897961352609,-0.13382037149055165,-0.02944692560152442,-0.5870936848459591,-0.6437558175554733,0.6471330025094245,-1.7412479375393397,0.8307749001600885,-0.9101073799487553,-0.45012049290390227,24,0.0,0.20833333333333334,0.0,0.20833333333333334,unstable,likely_random,0.09493857663422879,0.18257418583505536,low,Low,Likely Random,Low,luck,Luck,likely random,1,1000,1008,1008,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
connors_rsi2_pullback,-0.008958774702947724,0.014558735982355797,0.1564403868634103,-0.4503633306877064,0.4568017458990721,-0.03398321998936793,0.05998032285457533,-0.00489937116804084,0.0036849779955290263,0.04385791080423053,-0.13949982773339598,0.09855592826912418,-0.008690208171064057,0.014635758423963863,0.031901172924349706,0.18761433194000848,0.6345655065545485,-1.6024724193958155,1.0949938511431532,-0.33370846691601874,0.44633777491780235,-0.00044012195218153704,0.11766552696039936,0.5715146396735459,-2.3471031428927134,1.36368374983997,-0.19187619602882788,0.3063233873587017,-0.10122722668036242,-0.061304751855687456,0.10837618200206252,-0.4648232542911812,-0.008490982803065483,-0.1131318738598868,-0.029952681351550936,0.49261265050738734,0.46553446553446554,0.31410422166998303,0.008991008991008992,1.0,0.21278721278721277,0.7205294705294705,0.45675610856552834,0.3320481607893185,0.44202469742843337,0.0,2.0461915680399936,0.1423545648638974,0.6722902627377992,50.83863504916137,53.54645354645354,31.410422166998302,0.0999000999000999,99.20079920079921,28.046953046953043,78.82117882117882,-0.028957095384034914,0.00240678628886815,0.1602992624691128,-0.48943540587452106,0.4035145455861322,-0.04702762322886868,0.040589309818504296,-0.056341568762639904,0.046433656889558805,1.1998969529314907,-3.1457784167506313,2.7541642328539724,-0.6226233733627821,0.728770910854115,76,0.05263157894736842,0.5263157894736842,0.05263157894736842,0.5263157894736842,unstable,neutral_inconclusive,0.06207522318391882,0.18257418583505536,low,Low,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive,1,1000,1008,1008,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
donchian_trend_reentry,0.10348315055515803,0.034834076266517355,0.344796544728465,-0.39202434098754746,1.778362666482591,-0.04787428300946489,0.11558000848843758,0.022316091362512856,0.008597870104453342,0.08052360012453494,-0.1174308345860684,0.44866223401660976,-0.012185270202464404,0.027730118533919434,0.16517375727865485,0.23225811442723804,0.5315117984889327,-1.1180303158484957,1.5872269418209863,-0.14054947373194449,0.40653814504756364,0.029434427647255193,0.11945281750496939,0.44756537927085993,-1.649647561737527,0.7719151233203351,-0.09012238053895519,0.25485323082734623,-0.12650962528314727,-0.10301270220611125,0.07959270275996767,-0.4371417395149769,-0.025411437770247347,-0.1545227922027463,-0.07080634266244329,0.6553134365634365,0.7242757242757243,0.24947280848302988,0.006993006993006993,1.0,0.5089910089910089,0.8161838161838162,0.2607103876913868,0.1400977234025343,0.3578348601905557,0.0,2.155336037465062,0.08821202094690316,0.29357459560018956,34.568556443556446,27.672327672327675,24.947280848302988,0.0999000999000999,99.4005994005994,18.48151848151848,49.2007992007992,-0.06011810181692444,-0.07857714502003126,0.29271321760761565,-0.6576853943637775,1.2002998172439672,-0.15907823848342156,-0.002896514209196005,-0.47531953404786803,-0.584010487545455,0.921126181425288,-2.951420821229574,2.8475469562959392,-0.8827495516871111,-0.033785131592272664,64,0.03125,0.25,0.03125,0.234375,unstable,likely_random,0.09493857663422879,0.18257418583505536,low,Low,Likely Random,Low,luck,Luck,likely random,1,1000,1008,1008,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
turn_of_month_seasonality,0.023425675239254238,0.002852965359119275,0.2482744650234996,-0.8012020328945786,0.806181226859807,-0.04734243055711643,0.13187521174186273,-8.216797527333674e-05,0.0007367474149627684,0.07403645503660837,-0.3333779142659531,0.15971076498275671,-0.012270641834699947,0.03152975389268653,0.07176455866962801,0.05159518221898368,0.6159241910583614,-2.003322826668524,1.2438610782419797,-0.2116777626802106,0.5084959832814689,0.0054803285985589815,0.017751864167696398,0.3062201471644627,-1.6310125661339956,0.577048116886019,-0.08715478436696317,0.16393917986352913,-0.15458585905014255,-0.12223189615258123,0.14307188366910406,-0.8012020328945786,-0.013291948683665344,-0.1903749423965062,-0.06507602652134203,0.5669080919080919,0.6033966033966034,0.27913632383361725,0.02197802197802198,1.0,0.35739260739260736,0.7889610389610389,0.34137769360604303,0.21939713885818682,0.34934491377522675,0.0,1.6580113966571124,0.10295903892870334,0.44721220505693066,43.40909090909091,39.76023976023976,27.913632383361723,0.0999000999000999,97.9020979020979,21.203796203796202,64.36063936063935,-0.06139918759386529,-0.03788805545185284,0.2466001302324921,-0.9018383396701979,0.41151445075811754,-0.1286977746276911,0.029706447006717037,-0.26004212569645435,-0.3488632611291351,1.0037437691714568,-3.4195028194230757,2.2038300433769007,-0.830655913515762,0.33092588843603854,80,0.0375,0.3875,0.0375,0.3875,unstable,neutral_inconclusive,0.06207522318391882,0.18257418583505536,low,Low,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive,1,1000,1008,1008,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
