agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model,robustness_scope,research_grade
trend_pullback,1,101,0.6054318003575365,0.01532865358641604,0.25893004219459115,0.12741367683117164,-0.19527697950238243,0.721567221321635,0.806253118689676,0.6109412821598261,42.51497005988024,0.5768463073852296,0.23893988311069783,-0.20082131833213945,-0.32870805132399505,0,0,-0.025721399342032356,1.943369284482075,132,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
breakout_volume_momentum,1,101,0.4443289396431993,0.011794857358103575,0.28436711569245315,0.17545647657034982,-0.13966437720971214,0.40239193132301476,0.4556150341581732,0.43558241029217326,54.690618762475054,0.4550898203592814,0.34190287886679194,-0.011286094514973921,-0.025910354156412352,0,1,-0.16902677376679504,1.2990768041804421,117,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
mean_reversion_vol_filter,1,101,-0.02502201532142911,-0.0009907510690761489,-0.03626390082777388,-0.05353577180876597,-0.10009802533858925,0.033741141865655744,0.03151777693625632,0.09503190688920789,28.542914171656687,0.716566866267465,0.1447432772889266,-0.056539792257685434,-0.5949558849071802,0,0,-0.11958935442524406,0.19108018161351348,16,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_momentum_verification,1,101,0.8261193591895493,0.019447011778116977,0.37849002841888996,0.2239009976455536,-0.17412647737882558,1.1940116195717287,1.3694620882016735,0.9695719395735044,32.93413173652694,0.6726546906187625,0.1722078249959071,-0.5433427290121242,-0.5603944450487397,0,0,0.1726074421091208,3.1134353741375604,99,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
adx_trend_following,1,101,0.5417654784476622,0.013980500455582008,0.28052719322132547,0.13157314733317316,-0.14338303343520442,1.1908831890162541,1.3656728297850544,0.9154904453283403,17.16566866267465,0.8303393213572854,0.08074439524050299,-0.8239073513373922,-0.8999628074129142,0,0,0.14434474397157113,2.948825904144218,136,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
uptrend_oversold_reversion,1,101,0.2020866839104445,0.006255867391352036,0.20865265952703949,0.153973518323071,-0.10512512834711651,0.09170119072438374,0.107744872905411,0.19982024518234262,70.45908183632734,0.29740518962075846,0.5266514574549717,0.09434181100503349,0.4721333962879659,0,1,-0.20650292139929,0.45670609149334934,78,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
volatility_squeeze_breakout,1,101,0.1077930216436581,0.0033338430666225603,0.15326047519710637,0.20228433323649211,-0.06678975101414009,0.1812535219501208,0.18060312207123402,0.21579447847779198,37.924151696606785,0.6227544910179641,0.2056831318488029,-0.07281010042757592,-0.3374048351059595,0,0,-0.1594058380433548,0.5826801893288535,30,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
connors_rsi2_pullback,1,101,0.4800810627090127,0.012901781114910823,0.4509418792518409,0.27622243388734585,-0.11073559335700134,0.06586667432589492,0.08808279490786973,0.19877933169105672,96.6067864271457,0.03592814371257485,1.4445652207639397,0.39199826780114294,1.9720272951233557,1,1,-0.2005583199117656,0.42625698630169745,103,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
donchian_trend_reentry,1,101,0.17280355574130898,0.005195178357314666,0.13547552606641147,0.07463700974905967,-0.2026641243729964,0.8285982475000433,0.9241021002502484,0.6931813092963733,12.17564870259481,0.8802395209580839,0.055399136399407155,-0.7512985445089394,-1.0838413189062455,0,0,-0.055616881995656384,2.2032172910493513,103,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
turn_of_month_seasonality,1,101,0.45051863830511885,0.011843787083690292,0.2833760150159649,0.10281318694032852,-0.14159611391993354,0.3876157597525164,0.47031478764379075,0.4799077393345386,55.489021956087825,0.4471057884231537,0.34958970753308294,-0.01979614933867191,-0.041249906421851265,0,1,-0.19229227957399894,1.4301684373736516,231,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
random,1,101,6.003223740685609,0.06298390568156766,0.5331504348304374,0.1967149402133472,-0.3750956979084048,2.599656723769839,2.9520289293806634,1.7905445023094206,94.01197604790418,0.06187624750499002,1.208476032032973,3.0511948113049456,1.7040597468365377,0,1,0.7191013654365606,6.299360678166385,288,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_pullback,2,102,0.6054318003575365,0.01532865358641604,0.25893004219459115,0.12741367683117164,-0.19527697950238243,0.6696295788774057,0.7534662105601541,0.57459324445702,43.712574850299404,0.564870259481038,0.24805129034295545,-0.14803441020261754,-0.2576333982877006,0,0,-0.03554114166764066,1.7692647003093083,132,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
breakout_volume_momentum,2,102,0.4443289396431993,0.011794857358103575,0.28436711569245315,0.17545647657034982,-0.13966437720971214,0.431750672617079,0.5027461090688468,0.4516750826244421,51.49700598802395,0.4870259481037924,0.3124478995285163,-0.05841716942564745,-0.12933449657266138,0,1,-0.09655271366763543,1.3500118242143553,117,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
mean_reversion_vol_filter,2,102,-0.02502201532142911,-0.0009907510690761489,-0.03626390082777388,-0.05353577180876597,-0.10009802533858925,0.03113214585742606,0.034641815573539105,0.09830300527100644,25.149700598802394,0.7504990019960079,0.12464988093958469,-0.05966383089496821,-0.6069380150737417,0,0,-0.12148909027447269,0.19938150495781107,16,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_momentum_verification,2,102,0.8261193591895493,0.019447011778116977,0.37849002841888996,0.2239009976455536,-0.17412647737882558,1.2914797552679973,1.4616874887911517,0.9904454080776531,25.948103792415168,0.7425149700598802,0.12929478598534822,-0.6355681296016025,-0.6416993045938505,0,0,0.2247170848955844,3.18681386247351,99,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
adx_trend_following,2,102,0.5417654784476622,0.013980500455582008,0.28052719322132547,0.13157314733317316,-0.14338303343520442,1.2458743028361388,1.4023912518391073,0.962629137793967,17.964071856287426,0.8223552894211577,0.08494050983411114,-0.8606257733914451,-0.8940366955479029,0,0,0.18431617265382935,3.260978524750105,136,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
uptrend_oversold_reversion,2,102,0.2020866839104445,0.006255867391352036,0.20865265952703949,0.153973518323071,-0.10512512834711651,0.09706542182883064,0.10445723702551445,0.2019447957372286,68.6626746506986,0.3153692614770459,0.501180638912823,0.09762944688493004,0.4834462137462848,0,1,-0.20791604236112804,0.43201936450090217,78,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
volatility_squeeze_breakout,2,102,0.1077930216436581,0.0033338430666225603,0.15326047519710637,0.20228433323649211,-0.06678975101414009,0.17208160215974322,0.1917342773462944,0.23173696175083175,38.522954091816366,0.6167664670658682,0.2098792464424111,-0.08394125570263629,-0.3622264444499433,0,0,-0.17034726974194123,0.6065816686949399,30,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
connors_rsi2_pullback,2,102,0.4800810627090127,0.012901781114910823,0.4509418792518409,0.27622243388734585,-0.11073559335700134,0.06554698156194405,0.07749551689281597,0.18849135940313502,97.40518962075848,0.027944111776447105,1.5537096901890077,0.4025855458161967,2.135830242250886,1,1,-0.20755296661577197,0.40254332774255985,103,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
donchian_trend_reentry,2,102,0.17280355574130898,0.005195178357314666,0.13547552606641147,0.07463700974905967,-0.2026641243729964,0.8441144560754477,0.9259744333515877,0.716592488375709,12.17564870259481,0.8802395209580839,0.055399136399407155,-0.7531708776102787,-1.0510448962666095,0,0,-0.004639827565323936,2.1386430918204997,103,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
turn_of_month_seasonality,2,102,0.45051863830511885,0.011843787083690292,0.2833760150159649,0.10281318694032852,-0.14159611391993354,0.38778671119946273,0.4519517220416227,0.46834225093153165,55.489021956087825,0.4471057884231537,0.34958970753308294,-0.0014330837365038596,-0.0030599070095714393,0,1,-0.16907977529112728,1.3258850564451892,231,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
random,2,102,4.8472519951282385,0.0570636222088725,0.5048532060503492,0.1903832571862242,-0.31260126784900866,2.6539730070383474,3.1685095199019724,2.1281020498265386,82.63473053892216,0.17564870259481039,0.7553550537170771,1.678742475226266,0.7888449124717023,0,1,0.7077822598537695,7.473782866266378,310,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_pullback,3,103,0.6054318003575365,0.01532865358641604,0.25893004219459115,0.12741367683117164,-0.19527697950238243,0.6554669005548035,0.777031913978293,0.6256531931495024,46.10778443113773,0.5409181636726547,0.26686843499284,-0.17160011362075644,-0.27427353604147897,0,0,-0.06560889362806187,1.9460416868163573,132,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
breakout_volume_momentum,3,103,0.4443289396431993,0.011794857358103575,0.28436711569245315,0.17545647657034982,-0.13966437720971214,0.4066300811136291,0.48895938962107777,0.4536515063815135,52.8942115768463,0.47305389221556887,0.32508937985714187,-0.04463044997787846,-0.09838047344726544,0,1,-0.1485887564954854,1.3740993616133856,117,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
mean_reversion_vol_filter,3,103,-0.02502201532142911,-0.0009907510690761489,-0.03626390082777388,-0.05353577180876597,-0.10009802533858925,0.021013977694972374,0.022792206280079712,0.09644119579403064,30.538922155688624,0.6966067864271457,0.15701229890806584,-0.04781422160150882,-0.4957862789634587,0,0,-0.13505728930000033,0.18217341490206043,16,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_momentum_verification,3,103,0.8261193591895493,0.019447011778116977,0.37849002841888996,0.2239009976455536,-0.17412647737882558,1.2034203836962556,1.361831921962003,0.8958387844763318,30.738522954091817,0.6946107784431138,0.15825848192066477,-0.5357125627724537,-0.5980010823996729,0,0,0.173472711515497,3.0577931274098678,99,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
adx_trend_following,3,103,0.5417654784476622,0.013980500455582008,0.28052719322132547,0.13157314733317316,-0.14338303343520442,1.1635115091219688,1.3609479169588707,1.0034960695012667,20.35928143712575,0.7984031936127745,0.09777773453928333,-0.8191824385112085,-0.8163284973486132,0,0,0.08011788588017438,3.261855223392989,136,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
