measure,agent,display,n_trades,actual_cumulative_return,mean_simulated_return,p_value,percentile,RCSI,RCSI_z,verdict,bh_adjusted_p_value
regime_preserving,trend_pullback,Trend + Pullback,77,0.08318707028618569,1.3585104437633173,1.0,0.01999600079984003,-1.2753233734771316,-15.080503585076334,Below null median,1.0
regime_preserving,breakout_volume_momentum,Breakout + Volume + Momentum,46,0.29672197244517656,0.2302519387977502,0.03679264147170566,96.34073185362926,0.06647003364742637,1.9368111386139295,Moderate,0.10117976404719056
regime_preserving,mean_reversion_vol_filter,Mean Reversion + Volatility Filter,13,-0.00965260771574888,-0.0533801935080857,0.1863627274545091,81.38372325534893,0.04372758579233682,0.7057757256507213,Random / luck,0.3416650003332667
regime_preserving,trend_momentum_verification,Validation Strategy (Adaptive Volatility Momentum),35,0.21874384341957584,0.3555191068680606,0.9862027594481104,1.3997200559888023,-0.13677526344848476,-2.210655635917762,Below null median,1.0
regime_preserving,adx_trend_following,ADX Trend Following,110,0.803220296679297,0.6942387718290909,0.01219756048790242,98.80023995200959,0.10898152485020607,2.567553939963257,Moderate,0.0670865826834633
regime_preserving,uptrend_oversold_reversion,Uptrend Oversold Reversion,30,0.08217401006184413,0.019536354984823555,0.11657668466306739,88.3623275344931,0.06263765507702057,1.4015052395620535,Weak,0.25646870625874824
regime_preserving,volatility_squeeze_breakout,Volatility Squeeze Breakout,4,0.06486324257181232,0.014890830216359745,0.03219356128774245,96.8006398720256,0.04997241235545258,1.646623793749665,Weak,0.10117976404719056
regime_preserving,connors_rsi2_pullback,Connors RSI(2) Pullback,41,0.11836425517030107,-0.02200745086677839,0.0001999600079984003,100.0,0.14037170603707946,4.298959121377299,Strong,0.0021995600879824036
regime_preserving,donchian_trend_reentry,Donchian Trend Reentry,60,0.07127365693101781,0.5395341941265812,1.0,0.01999600079984003,-0.4682605371955634,-7.10995370047646,Below null median,1.0
regime_preserving,turn_of_month_seasonality,Turn-of-Month Seasonality,141,0.32293443387976867,1.0682539042797536,1.0,0.01999600079984003,-0.745319470399985,-25.424092164695846,Below null median,1.0
regime_preserving,random,Random Baseline,215,0.6010568562392364,1.859540407901934,1.0,0.01999600079984003,-1.2584835516626975,-37.27619304666067,Below null median,1.0
