agent,regime_at_entry,total_trades,min_trades_required,meets_min_trade_threshold,average_return,median_return,win_rate,std_return,trade_level_return_ratio,plot_trade_level_return_ratio
trend_pullback,calm,44,5,True,0.0002451143785663598,-0.0070180008570203505,0.5,0.05804777538061069,0.004222631736688977,0.004222631736688977
trend_pullback,neutral,35,5,True,0.011820328024487313,0.0350606338490797,0.5714285714285714,0.07338569643624362,0.16107127953410694,0.16107127953410694
trend_pullback,stressed,16,5,True,0.01544307063704698,0.0348395746604638,0.5625,0.06456735893090086,0.23917767263136708,0.23917767263136708
breakout_volume_momentum,calm,47,5,True,0.007166965547224368,-0.0100090267474025,0.425531914893617,0.05414087127397411,0.13237625066941947,0.13237625066941947
breakout_volume_momentum,neutral,20,5,True,0.013707269285944115,-0.00085085002467025,0.5,0.058873143820236055,0.23282720093559214,0.23282720093559214
breakout_volume_momentum,stressed,29,5,True,0.012422352038122964,-0.0035282572754189,0.4827586206896552,0.0727825210833229,0.1706776826801809,0.1706776826801809
mean_reversion_vol_filter,calm,2,5,False,0.010156845476889399,0.010156845476889399,0.5,0.025406449870688998,0.39977429072478105,
mean_reversion_vol_filter,neutral,0,5,False,0.0,0.0,0.0,0.0,0.0,
mean_reversion_vol_filter,stressed,0,5,False,0.0,0.0,0.0,0.0,0.0,
trend_momentum_verification,calm,35,5,True,0.004712895075644306,-0.0191702302999236,0.37142857142857144,0.0731775437187873,0.06440357022306471,0.06440357022306471
trend_momentum_verification,neutral,28,5,True,0.02111044913364497,-0.01467309705687515,0.42857142857142855,0.09198423538741587,0.229500729605815,0.229500729605815
trend_momentum_verification,stressed,0,5,False,0.0,0.0,0.0,0.0,0.0,
adx_trend_following,calm,40,5,True,0.0008223786012548619,-0.0161623932280181,0.3,0.05685452883408626,0.014464610262706415,0.014464610262706415
adx_trend_following,neutral,31,5,True,0.02255000476162759,-0.0069121500002173,0.41935483870967744,0.07661001139712682,0.29434801470964544,0.29434801470964544
adx_trend_following,stressed,0,5,False,0.0,0.0,0.0,0.0,0.0,
uptrend_oversold_reversion,calm,32,5,True,-0.0013665416314647526,-0.0020447883504480496,0.5,0.04207284500336432,-0.03248037139764326,-0.03248037139764326
uptrend_oversold_reversion,neutral,16,5,True,0.018553812990853645,0.035304884406075696,0.6875,0.048394713005521894,0.3833851228487838,0.3833851228487838
uptrend_oversold_reversion,stressed,0,5,False,0.0,0.0,0.0,0.0,0.0,
volatility_squeeze_breakout,calm,16,5,True,-0.005359947771007012,-0.0096280155318366,0.375,0.03846894516854121,-0.13933181030890918,-0.13933181030890918
volatility_squeeze_breakout,neutral,8,5,True,0.039279358140032056,0.03533980038091885,0.625,0.06400407502898647,0.6137008951733625,0.6137008951733625
volatility_squeeze_breakout,stressed,0,5,False,0.0,0.0,0.0,0.0,0.0,
connors_rsi2_pullback,calm,41,5,True,-0.006676573750189849,0.0005909323731474,0.5121951219512195,0.027749961441160882,-0.24059758657129665,-0.24059758657129665
connors_rsi2_pullback,neutral,16,5,True,0.004636098336028618,0.01257013713398425,0.625,0.03679365694583385,0.12600265156718987,0.12600265156718987
connors_rsi2_pullback,stressed,0,5,False,0.0,0.0,0.0,0.0,0.0,
donchian_trend_reentry,calm,28,5,True,-0.0006621445150184395,-0.01652786005011905,0.35714285714285715,0.04857718712049328,-0.013630771032007744,-0.013630771032007744
donchian_trend_reentry,neutral,18,5,True,0.017276010020459646,-0.012491581625639899,0.3888888888888889,0.06831805508533341,0.2528761979374392,0.2528761979374392
donchian_trend_reentry,stressed,0,5,False,0.0,0.0,0.0,0.0,0.0,
turn_of_month_seasonality,calm,90,5,True,-0.0014255760353621579,-0.0048581407731169,0.4444444444444444,0.038865915419330294,-0.03667933766595745,-0.03667933766595745
turn_of_month_seasonality,neutral,51,5,True,0.012417396187407413,0.0096199502303904,0.5882352941176471,0.0683773160588466,0.18160110549997027,0.18160110549997027
turn_of_month_seasonality,stressed,0,5,False,0.0,0.0,0.0,0.0,0.0,
random,calm,89,5,True,-0.004480208168527043,0.0065157981206357,0.5168539325842697,0.06132858218075553,-0.07305253128667469,-0.07305253128667469
random,neutral,65,5,True,0.007822340459117165,0.0153950362853118,0.6307692307692307,0.06335832181899566,0.12346192630329303,0.12346192630329303
random,stressed,72,5,True,-0.006432177875869129,-0.01748515682420895,0.4444444444444444,0.10852805230521975,-0.05926742200974492,-0.05926742200974492
