interval,timeframe_label,agent,panel_count,mean_p_value,mean_actual_percentile,mean_RCSI_z,significant_panel_rate,outperform_rate,evidence_label,verdict_label,number_of_outer_runs,simulations_per_run,test_bars,step_bars,min_trades_per_panel,ticker_count,tickers
1d,Daily,trend_pullback,2,0.3751248751248751,62.58741258741259,0.4327220739908114,0.0,0.5,Positive but Inconclusive,Inconclusive,1,1000,126,126,5,3,"BTC-USD,QQQ,SPY"
1d,Daily,breakout_volume_momentum,1,0.6453546453546454,35.56443556443556,-0.4417266750706665,0.0,0.0,Likely Random,Luck,1,1000,126,126,5,3,"BTC-USD,QQQ,SPY"
1d,Daily,adx_trend_following,3,0.8271728271728271,17.382617382617383,-0.9923028496582414,0.0,0.0,Likely Random,Luck,1,1000,126,126,5,3,"BTC-USD,QQQ,SPY"
1d,Daily,connors_rsi2_pullback,1,0.2677322677322677,73.32667332667333,0.6427358075511866,0.0,1.0,Positive but Inconclusive,Inconclusive,1,1000,126,126,5,3,"BTC-USD,QQQ,SPY"
1d,Daily,turn_of_month_seasonality,4,0.2435064935064935,75.74925074925075,0.7486257901674671,0.0,1.0,Positive but Inconclusive,Inconclusive,1,1000,126,126,5,3,"BTC-USD,QQQ,SPY"
1d,Daily,random,7,0.7759383473669187,22.506065363208226,-0.8425855649905953,0.0,0.0,Likely Random,Luck,1,1000,126,126,5,3,"BTC-USD,QQQ,SPY"
4h,4-Hour,breakout_volume_momentum,1,0.9630369630369632,3.796203796203796,-1.9097602634250632,0.0,0.0,Likely Random,Luck,1,1000,252,252,5,3,"BTC-USD,QQQ,SPY"
4h,4-Hour,trend_momentum_verification,1,0.956043956043956,4.495504495504496,-1.5863678526753182,0.0,0.0,Likely Random,Luck,1,1000,252,252,5,3,"BTC-USD,QQQ,SPY"
4h,4-Hour,adx_trend_following,2,0.9565434565434564,4.445554445554445,-1.774753480649676,0.0,0.0,Likely Random,Luck,1,1000,252,252,5,3,"BTC-USD,QQQ,SPY"
4h,4-Hour,uptrend_oversold_reversion,2,0.5934065934065934,40.759240759240754,-0.2647900770443621,0.0,0.0,Null-Like / Inconclusive,Inconclusive,1,1000,252,252,5,3,"BTC-USD,QQQ,SPY"
4h,4-Hour,random,4,0.7035464535464535,29.745254745254748,-0.709298148978489,0.0,0.25,Likely Random,Luck,1,1000,252,252,5,3,"BTC-USD,QQQ,SPY"
1h,Hourly,breakout_volume_momentum,1,0.994005994005994,0.6993006993006993,-2.21829737313331,0.0,0.0,Likely Random,Luck,1,1000,882,882,5,3,"BTC-USD,QQQ,SPY"
1h,Hourly,trend_momentum_verification,3,0.7599067599067598,24.10922410922411,-0.7264008869607154,0.0,0.0,Likely Random,Luck,1,1000,882,882,5,3,"BTC-USD,QQQ,SPY"
1h,Hourly,adx_trend_following,1,0.971028971028971,2.997002997002997,-1.881317412763018,0.0,0.0,Likely Random,Luck,1,1000,882,882,5,3,"BTC-USD,QQQ,SPY"
1h,Hourly,uptrend_oversold_reversion,5,0.2355644355644355,76.54345654345654,0.7234755725046536,0.2,1.0,Positive but Inconclusive,Inconclusive,1,1000,882,882,5,3,"BTC-USD,QQQ,SPY"
1h,Hourly,random,5,0.3600399600399601,64.0959040959041,0.3987313673571318,0.0,0.8,Positive but Inconclusive,Inconclusive,1,1000,882,882,5,3,"BTC-USD,QQQ,SPY"
